date,renewable_share,fossil,nuclear,hydro,wind,solar,total_generation,price_actual,total_load_actual,temp_c,wind_speed
2017-04-04,0.4537347898635622,176063,170109,82212,148912,55089,647841,53.115,28661.333333333332,14.12051635991821,1.9333333333333333
2017-04-05,0.3534886366688841,234313,167289,72844,105791,36938,632869,47.454166666666666,28305.416666666668,13.997783742331293,2.3249999999999997
2017-04-06,0.4272651969440613,215657,115776,78408,119780,44514,595169,46.77916666666667,23609.75,14.087448875255628,2.4083333333333337
2017-04-07,0.3361213625798712,325754,143305,41218,127474,62298,720222,52.62,30777.125,15.022292944785288,2.225
2017-04-08,0.24883746342411034,384192,164681,51088,63309,58894,741267,55.23625,33085.375,15.437290388548078,2.3666666666666667
2017-04-09,0.27367789424410593,288666,164068,49048,62550,51208,636617,52.882083333333334,29521,15.42383179959101,2.25
2017-04-10,0.2322916377948391,402454,142936,35472,82179,39952,721580,55.53,29622.583333333332,16.26740541922292,2.283333333333333
2017-04-11,0.2644268419729138,281152,120440,30846,94273,11280,556740,54.88875,25474.666666666668,17.326536298568513,1.9000000000000001
2017-04-12,0.23533185138882548,504156,140553,60512,103869,26212,854283,58.6875,33417.541666666664,17.28978527607364,1.6416666666666666
2017-04-13,0.3377820500402961,203290,150342,68961,58295,48750,547199,56.34375,23575.041666666668,17.111836512653394,1.8166666666666667
2017-04-14,0.36371654398046066,170418,159037,76161,64265,43621,530622,55.51583333333333,21681.291666666668,17.523721881390607,1.7083333333333335
2017-04-15,0.42304810456953973,145421,168457,66627,116064,44616,557868,51.60041666666667,22704.666666666668,17.38362474437629,1.8166666666666667
2017-04-16,0.41741375443740053,142614,169101,78088,102359,40297,548463,49.89666666666667,21511.416666666668,17.040490797546017,1.7000000000000002
2017-04-17,0.34638800902016076,171739,169744,71957,56404,49243,534802,56.6175,23825.5,17.435089468302674,1.575
2017-04-18,0.4782176102353793,149960,169553,71719,171291,49504,627158,50.795833333333334,27157.833333333332,18.19621421267896,2.175
2017-04-19,0.5676257638111283,123220,169567,74682,280343,32448,695689,47.03875,28044.5,16.058361451942744,2.5583333333333336
2017-04-20,0.5304083932011194,132107,169808,72733,233985,35698,660344,48.13,28154.125,13.809639570552154,3.6416666666666666
2017-04-21,0.48239504631706315,145700,170080,69432,178591,45951,626443,51.45375,28008.208333333332,12.97050357873212,3.3083333333333336
2017-04-22,0.39093331882954424,157573,170071,70363,98803,38512,551580,53.28333333333333,25367.708333333332,13.95975204498978,2.908333333333333
2017-04-23,0.3288847033999049,183548,170056,68987,57187,42962,538368,55.555416666666666,23173.125,16.046354805725976,1.6
2017-04-24,0.32707500260787925,209601,170003,94422,52584,33285,575180,60.71625,26591.583333333332,16.841848159509212,2.175
2017-04-25,0.37939786999390956,199877,169866,82333,113326,26687,607510,56.28583333333333,28189.958333333332,16.690843558282225,2.3333333333333335
2017-04-26,0.4408666415387873,195237,169726,68173,193877,22478,665927,54.053333333333335,28465,15.052280163599184,2.4
2017-04-27,0.45626998191627144,205153,147798,80495,186363,26879,662474,51.845,28775.208333333332,10.212211145194264,2.3916666666666666
2017-04-28,0.4564902031672367,197950,153909,85950,191001,16326,661081,54.272083333333335,28590.958333333332,10.896674335378322,2.5583333333333336
2017-04-29,0.4132555173076587,167306,160771,60881,148891,18478,572290,52.10916666666667,25689.541666666668,12.247967791411046,2.5333333333333337
2017-04-30,0.5883550873333192,115500,169010,116345,271327,21533,709065,28.409166666666668,23447.333333333332,13.943680981595096,4.316666666666666
2017-05-01,0.3338262609991986,320547,170417,72628,147259,19370,749941,48.08625,29713.375,13.359550102249507,2.1166666666666667
2017-05-02,0.6184747029562617,123763,164138,141598,310761,17900,775980,58.40083333333333,25942.625,15.513238752556262,1.7583333333333333
2017-05-03,0.5312036094875253,118587,170516,104062,212708,10172,633885,55.32625,25650.708333333332,17.271904907975475,1.6
2017-05-04,0.5190821349204701,146862,170008,75104,212085,55221,674086,54.51541666666667,28523.25,17.886661554192248,1.8
2017-05-05,0.47763547359688197,179808,160766,65078,217445,26779,666569,50.33708333333333,28187.125,17.888167177914124,3.5833333333333335
2017-05-06,0.420028073517524,240044,120832,58608,138185,59930,638324,48.19166666666666,27404.791666666668,17.717827198364017,2.9250000000000003
2017-05-07,0.31504343350639386,349884,143133,51323,115116,53373,732499,53.415416666666665,31246.5,17.980529141104306,1.7833333333333332
2017-05-08,0.35804589031168377,261626,164413,39439,133758,57897,676134,55.05375,29865.708333333332,19.241901840490815,1.9166666666666667
2017-05-09,0.251696242558971,330186,163764,48729,55037,53980,672958,57.08291666666667,31034.833333333336,18.913210633946854,2.5583333333333336
2017-05-10,0.25331625174762096,378373,142955,39336,86812,42991,709536,53.72083333333333,29799.708333333332,18.648182515337435,3.15
2017-05-11,0.5125973029635655,166710,120569,61909,213007,24982,604812,48.066250000000004,23376.208333333332,16.64525051124745,5.383333333333333
2017-05-12,0.18210842727527438,555635,145032,60589,60976,25665,867291,50.03125,33835.833333333336,17.09742331288344,4
2017-05-13,0.46465181486997686,177039,121879,71816,152464,31463,572052,49.55291666666667,25133.875,18.416771472392647,2.9583333333333335
2017-05-14,0.4060957108831852,178217,121890,74177,73167,51885,518102,51.51375,22921.083333333332,19.039120654396744,1.9666666666666668
2017-05-15,0.3443084743532475,249353,121762,72287,69156,46610,577578,55.60625,26969.416666666668,20.045056237218823,1.866666666666667
2017-05-16,0.3449102304075337,275596,118359,89333,67341,43731,613348,57.52375,28569,21.783762781186102,1.9416666666666667
